TIM2 0x40000000
TIM3 0x40000400
TIM6 0x40001000
TIM7 0x40001400
TIM14 0x40002000
RTC 0x40002800
WWDG 0x40002c00
IWDG 0x40003000
SPI2 0x40003800
USART2 0x40004400
USART3 0x40004800
USART4 0x40004c00
USART5 0x40005000
I2C1 0x40005400
I2C2 0x40005800
USB 0x40005c00
USB_SRAM 0x40006000
CAN_SRAM 0x40006000
CAN 0x40006400
CRS 0x40006c00
PWR 0x40007000
DAC 0x40007400
CEC 0x40007800
SYSCFG 0x40010000
COMP 0x40010000
EXTI 0x40010400
USART6 0x40011400
USART7 0x40011800
USART8 0x40011c00
ADC 0x40012400
TIM1 0x40012c00
SPI1 0x40013000
USART1 0x40013800
TIM15 0x40014000
TIM16 0x40014400
TIM17 0x40014800
DBGMCU 0x40015800
DMA 0x40020000
DMA2 0x40020400
RCC 0x40021000
FLASH 0x40022000
CRC 0x40023000
TSC 0x40024000
GPIOA 0x48000000
GPIOB 0x48000400
GPIOC 0x48000800
GPIOD 0x48000c00
CPIOE 0x48001000
GPIOF 0x48001400
CORTEX_M0 0xe0000000
NVIC_ISER 0xe000e100
NVIC_ICER 0xe000e180
NVIC_ISPR 0xe000e200
NVIC_ICPR 0xe000e280
NVIC_IPR 0xe000e400
